Serial,Code
1316,370626
8490,683536
1836,302877
9710,619994
9891,282145
8164,753852
4127,152724
3821,515648
6457,426116
6454,695367
2951,158478
8465,786487
6218,600562
9930,573618
8465,523494
8551,795551
1137,749762
6388,631703
7088,114653
2551,633900
1676,744870
8949,250358
5631,453909
6378,302463
8040,510419
8361,791878
3656,718343
3771,187864
5888,263213
6977,854756
7771,511854
8130,720506
9380,990469
1758,753295
7026,347285
6198,438137
7514,748676
9820,295697
6684,159634
6485,727578
3196,671089
9472,806698
8764,220746
6304,973439
8285,962226
8331,624025
6168,322013
8100,880472
2172,553423
5289,861319
5342,509035
6155,182000
9442,703089
1091,821100
1831,767516
5303,589047
9394,606697
3053,559838
9492,351335
7001,224984
4554,765487
9519,207529
4431,960371
9664,135547
7272,786077
7607,493883
4340,663561
3331,407199
1484,101087
3079,378333
4143,497800
4887,375076
7311,577558
3086,996789
6336,710017
2247,804880
3608,129531
8244,430758
8874,259762
4485,980741
9023,585669
6906,883622
5181,282903
9328,880218
3147,746490
9333,456450
1730,455485
5524,621378
9928,381842
6109,154431
6093,761793
8158,861011
1798,894873
3776,107645
4634,785787
6081,107495
7939,271934
7988,167405
9503,420207
6318,691109